iter	Passed	Remaining
0	1	120
1	2	100
2	3	97
3	3	88
4	4	87
5	5	85
6	6	83
7	7	84
8	8	83
9	9	82
10	10	81
11	10	79
12	11	78
13	12	77
14	13	77
15	14	75
16	15	75
17	16	74
18	17	72
19	17	71
20	18	71
21	19	70
22	21	71
23	22	69
24	22	68
25	23	67
26	24	66
27	25	65
28	42	105
29	44	104
30	46	103
31	47	101
32	49	99
33	51	99
34	52	98
35	54	96
36	55	94
37	57	94
38	59	93
39	61	91
40	62	89
41	62	86
42	64	85
43	65	83
44	67	82
45	68	80
46	70	79
47	72	78
48	73	76
49	75	75
50	77	74
51	78	72
52	79	70
53	80	68
54	81	66
55	83	65
56	85	64
57	86	62
58	88	61
59	89	59
60	90	58
61	92	56
62	93	55
63	95	53
64	96	52
65	98	50
66	99	49
67	100	47
68	101	45
69	102	44
70	104	42
71	105	41
72	107	39
73	108	37
74	109	36
75	110	34
76	111	33
77	113	31
78	114	30
79	116	29
80	117	27
81	118	26
82	120	24
83	121	23
84	123	21
85	124	20
86	125	18
87	126	17
88	127	15
89	129	14
90	130	12
91	131	11
92	132	9
93	133	8
94	134	7
95	135	5
96	136	4
97	137	2
98	137	1
99	138	0
