iter	Passed	Remaining
0	161	161590
1	163	81723
2	166	55265
3	167	41695
4	168	33556
5	169	28109
6	170	24219
7	171	21314
8	172	19033
9	173	17222
10	175	15734
11	176	14513
12	177	13510
13	179	12634
14	180	11849
15	181	11163
16	182	10553
17	183	10013
18	184	9522
19	185	9086
20	186	8695
21	187	8333
22	188	8004
23	189	7708
24	190	7442
25	192	7198
26	194	6998
27	196	6822
28	197	6624
29	198	6428
30	199	6250
31	200	6078
32	201	5917
33	202	5766
34	204	5631
35	205	5502
36	207	5396
37	209	5294
38	210	5195
39	212	5094
40	213	4988
41	214	4890
42	215	4793
43	216	4702
44	217	4613
45	219	4543
46	221	4485
47	223	4423
48	224	4352
49	225	4279
50	226	4214
51	227	4147
52	228	4082
53	229	4017
54	230	3955
55	231	3899
56	232	3846
57	234	3806
58	236	3768
59	238	3733
60	240	3701
61	241	3658
62	242	3613
63	244	3573
64	246	3542
65	248	3513
66	250	3492
67	253	3473
68	254	3439
69	256	3403
70	257	3365
71	258	3328
72	259	3293
73	260	3258
74	261	3227
75	263	3204
76	267	3205
77	269	3183
78	270	3157
79	272	3128
80	273	3098
81	274	3069
82	274	3034
83	275	3007
84	277	2986
85	279	2974
86	283	2972
87	286	2970
88	288	2950
89	290	2932
90	291	2916
91	294	2905
92	296	2892
93	300	2895
94	302	2884
95	304	2867
96	306	2851
97	308	2842
98	311	2839
99	315	2836
100	316	2818
101	318	2800
102	320	2787
103	322	2775
104	324	2763
105	326	2755
106	330	2755
107	333	2752
108	335	2739
109	337	2732
110	340	2728
111	344	2733
112	346	2718
113	347	2699
114	348	2684
115	350	2670
116	352	2660
117	355	2655
118	357	2649
119	359	2635
120	360	2621
121	361	2604
122	363	2591
123	365	2584
124	368	2578
125	370	2569
126	373	2567
127	376	2562
128	378	2553
129	381	2552
130	386	2563
131	389	2561
132	391	2550
133	393	2540
134	395	2531
135	399	2537
136	403	2539
137	404	2527
138	406	2516
139	407	2505
140	410	2501
141	412	2493
142	416	2494
143	417	2484
144	418	2470
145	420	2459
146	422	2449
147	424	2443
148	427	2439
149	429	2436
150	431	2423
151	432	2412
152	433	2399
153	434	2388
154	436	2379
155	439	2375
156	440	2366
157	442	2359
158	444	2351
159	446	2341
160	446	2328
161	448	2317
162	449	2307
163	450	2297
164	453	2292
165	456	2292
166	458	2288
167	460	2278
168	461	2269
169	462	2260
170	464	2251
171	466	2245
172	468	2240
173	472	2241
174	474	2235
175	475	2227
176	477	2218
177	478	2210
178	480	2202
179	481	2194
180	484	2190
181	487	2191
182	489	2186
183	490	2177
184	492	2168
185	493	2158
186	494	2150
187	496	2145
188	499	2141
189	502	2143
190	504	2137
191	505	2128
192	506	2119
193	508	2112
194	510	2106
195	512	2101
196	514	2097
197	517	2097
198	519	2092
199	520	2083
200	522	2075
201	523	2067
202	525	2061
203	527	2059
204	531	2062
205	534	2058
206	535	2050
207	536	2043
208	537	2035
209	539	2029
210	541	2025
211	546	2029
212	548	2026
213	549	2018
214	550	2011
215	552	2004
216	554	1999
217	556	1996
218	559	1996
219	562	1994
220	563	1987
221	565	1980
222	566	1973
223	568	1968
224	570	1964
225	573	1963
226	576	1964
227	578	1958
228	579	1952
229	581	1947
230	583	1943
231	586	1942
232	589	1941
233	591	1937
234	594	1934
235	596	1929
236	597	1924
237	600	1921
238	604	1924
239	607	1924
240	609	1918
241	610	1912
242	612	1907
243	615	1906
244	618	1907
245	621	1905
246	622	1898
247	623	1891
248	625	1885
249	626	1880
250	629	1878
251	632	1877
252	634	1873
253	635	1867
254	637	1861
255	638	1854
256	639	1849
257	641	1845
258	643	1840
259	645	1836
260	647	1834
261	649	1830
262	650	1824
263	652	1818
264	653	1812
265	655	1807
266	657	1803
267	661	1807
268	664	1805
269	665	1800
270	667	1794
271	668	1788
272	669	1783
273	671	1778
274	674	1777
275	677	1777
276	679	1772
277	680	1766
278	681	1760
279	682	1754
280	683	1749
281	685	1745
282	687	1742
283	690	1741
284	693	1739
285	694	1734
286	696	1729
287	697	1725
288	699	1720
289	701	1717
290	703	1715
291	706	1713
292	708	1708
293	709	1703
294	710	1698
295	711	1692
296	713	1688
297	714	1683
298	716	1680
299	720	1680
300	722	1678
301	724	1673
302	725	1668
303	726	1664
304	728	1660
305	731	1657
306	735	1660
307	738	1658
308	739	1653
309	740	1647
310	741	1642
311	743	1638
312	744	1634
313	747	1633
314	750	1632
315	752	1628
316	753	1623
317	754	1618
318	756	1614
319	757	1610
320	760	1607
321	764	1609
322	766	1606
323	767	1601
324	768	1596
325	769	1591
326	770	1586
327	771	1581
328	773	1577
329	775	1574
330	777	1571
331	779	1567
332	780	1563
333	781	1558
334	782	1553
335	783	1548
336	784	1543
337	785	1538
338	787	1535
339	789	1532
340	792	1532
341	796	1531
342	797	1527
343	799	1524
344	800	1520
345	802	1517
346	805	1516
347	809	1516
348	811	1513
349	812	1509
350	814	1505
351	815	1501
352	818	1499
353	820	1497
354	824	1498
355	827	1496
356	828	1492
357	829	1488
358	831	1485
359	834	1482
360	837	1482
361	841	1483
362	843	1480
363	844	1476
364	846	1472
365	848	1469
366	851	1467
367	853	1465
368	854	1461
369	855	1456
370	856	1452
371	857	1448
372	858	1443
373	860	1439
374	861	1436
375	864	1433
376	867	1432
377	871	1433
378	872	1430
379	874	1426
380	875	1422
381	876	1418
382	878	1415
383	879	1411
384	880	1407
385	881	1402
386	882	1398
387	883	1393
388	884	1389
389	886	1385
390	887	1381
391	888	1378
392	890	1374
393	891	1371
394	893	1368
395	896	1368
396	899	1365
397	901	1363
398	903	1361
399	906	1359
400	909	1359
401	912	1357
402	914	1354
403	916	1352
404	918	1349
405	920	1346
406	923	1345
407	928	1347
408	930	1345
409	932	1341
410	935	1340
411	936	1336
412	939	1335
413	942	1333
414	943	1330
415	945	1327
416	946	1323
417	948	1320
418	950	1318
419	953	1317
420	956	1315
421	957	1311
422	959	1308
423	960	1305
424	961	1301
425	962	1297
426	964	1293
427	968	1293
428	970	1292
429	972	1289
430	975	1287
431	976	1283
432	978	1280
433	979	1277
434	982	1275
435	984	1273
436	986	1270
437	988	1267
438	989	1264
439	990	1260
440	992	1257
441	993	1254
442	997	1253
443	1000	1252
444	1002	1249
445	1004	1247
446	1005	1244
447	1007	1240
448	1008	1237
449	1010	1235
450	1013	1233
451	1014	1230
452	1017	1228
453	1018	1225
454	1020	1221
455	1021	1218
456	1022	1215
457	1024	1211
458	1025	1208
459	1028	1206
460	1029	1203
461	1030	1200
462	1032	1197
463	1033	1193
464	1034	1189
465	1035	1186
466	1036	1183
467	1038	1179
468	1039	1177
469	1041	1174
470	1043	1171
471	1045	1169
472	1047	1166
473	1048	1163
474	1050	1160
475	1051	1157
476	1053	1154
477	1054	1151
478	1056	1149
479	1057	1145
480	1059	1142
481	1060	1139
482	1061	1136
483	1062	1133
484	1064	1129
485	1065	1126
486	1066	1123
487	1068	1121
488	1071	1119
489	1073	1117
490	1075	1114
491	1077	1112
492	1078	1109
493	1080	1106
494	1081	1103
495	1082	1100
496	1084	1097
497	1085	1094
498	1087	1091
499	1089	1089
500	1090	1086
501	1092	1084
502	1094	1081
503	1096	1078
504	1097	1075
505	1099	1073
506	1104	1074
507	1106	1072
508	1108	1069
509	1109	1066
510	1111	1063
511	1112	1060
512	1114	1057
513	1115	1055
514	1117	1052
515	1118	1049
516	1119	1046
517	1120	1043
518	1122	1039
519	1123	1036
520	1123	1033
521	1124	1030
522	1126	1027
523	1127	1024
524	1128	1021
525	1130	1018
526	1131	1015
527	1133	1013
528	1135	1011
529	1137	1009
530	1139	1006
531	1141	1004
532	1142	1001
533	1144	998
534	1146	996
535	1147	993
536	1149	991
537	1151	988
538	1152	985
539	1154	983
540	1155	980
541	1156	977
542	1158	975
543	1160	973
544	1163	971
545	1164	968
546	1166	966
547	1168	964
548	1170	961
549	1172	959
550	1175	957
551	1177	955
552	1179	953
553	1181	951
554	1183	949
555	1185	946
556	1186	944
557	1189	942
558	1192	941
559	1194	938
560	1197	936
561	1198	934
562	1200	932
563	1202	929
564	1205	928
565	1208	926
566	1210	924
567	1212	922
568	1214	920
569	1216	917
570	1218	915
571	1221	913
572	1223	911
573	1224	909
574	1226	906
575	1228	904
576	1230	902
577	1232	899
578	1234	897
579	1236	895
580	1238	893
581	1240	890
582	1242	888
583	1245	886
584	1247	884
585	1248	882
586	1251	880
587	1253	878
588	1255	875
589	1257	873
590	1259	871
591	1261	869
592	1263	867
593	1266	865
594	1268	863
595	1270	861
596	1273	859
597	1275	857
598	1277	855
599	1280	853
600	1282	851
601	1284	849
602	1286	847
603	1288	844
604	1290	842
605	1292	840
606	1294	838
607	1298	837
608	1300	835
609	1303	833
610	1305	831
611	1307	829
612	1310	827
613	1312	825
614	1315	823
615	1317	821
616	1319	819
617	1321	816
618	1323	814
619	1326	813
620	1329	811
621	1331	809
622	1334	807
623	1336	805
624	1339	803
625	1343	802
626	1345	800
627	1349	799
628	1351	796
629	1353	795
630	1357	793
631	1359	791
632	1362	789
633	1364	787
634	1366	785
635	1368	783
636	1371	781
637	1373	779
638	1376	777
639	1378	775
640	1381	773
641	1384	771
642	1387	770
643	1390	768
644	1393	766
645	1395	764
646	1397	762
647	1400	760
648	1402	758
649	1404	756
650	1407	754
651	1409	752
652	1411	749
653	1413	747
654	1415	745
655	1417	743
656	1418	740
657	1420	738
658	1421	735
659	1422	732
660	1424	730
661	1425	727
662	1427	725
663	1428	722
664	1431	721
665	1434	719
666	1435	716
667	1438	714
668	1439	712
669	1441	710
670	1444	708
671	1446	706
672	1449	704
673	1451	701
674	1452	699
675	1454	697
676	1457	695
677	1460	693
678	1463	691
679	1465	689
680	1467	687
681	1469	685
682	1472	683
683	1474	681
684	1476	678
685	1478	676
686	1480	674
687	1483	672
688	1484	669
689	1486	667
690	1488	665
691	1491	663
692	1494	661
693	1496	659
694	1497	657
695	1499	654
696	1501	652
697	1503	650
698	1506	648
699	1511	647
700	1513	645
701	1516	643
702	1518	641
703	1520	639
704	1523	637
705	1524	634
706	1526	632
707	1527	630
708	1529	627
709	1530	625
710	1531	622
711	1532	620
712	1535	617
713	1540	617
714	1543	615
715	1544	612
716	1546	610
717	1548	608
718	1549	605
719	1552	603
720	1554	601
721	1555	599
722	1557	596
723	1558	594
724	1560	591
725	1561	589
726	1563	587
727	1567	585
728	1572	584
729	1574	582
730	1576	580
731	1578	577
732	1582	576
733	1584	574
734	1586	571
735	1587	569
736	1589	567
737	1590	564
738	1592	562
739	1594	560
740	1599	559
741	1603	557
742	1604	555
743	1606	552
744	1609	550
745	1612	549
746	1614	546
747	1616	544
748	1617	542
749	1619	539
750	1620	537
751	1622	535
752	1625	533
753	1630	532
754	1633	529
755	1634	527
756	1635	525
757	1638	523
758	1641	521
759	1643	518
760	1644	516
761	1645	513
762	1646	511
763	1647	508
764	1648	506
765	1649	503
766	1651	501
767	1653	499
768	1656	497
769	1659	495
770	1660	493
771	1661	490
772	1662	488
773	1663	485
774	1665	483
775	1667	481
776	1669	479
777	1672	477
778	1674	475
779	1675	472
780	1676	470
781	1677	467
782	1679	465
783	1680	463
784	1682	460
785	1684	458
786	1685	456
787	1686	453
788	1688	451
789	1689	449
790	1690	446
791	1691	444
792	1692	441
793	1693	439
794	1694	436
795	1695	434
796	1698	432
797	1700	430
798	1703	428
799	1704	426
800	1705	423
801	1706	421
802	1707	418
803	1708	416
804	1710	414
805	1711	411
806	1714	409
807	1716	407
808	1718	405
809	1720	403
810	1721	401
811	1723	398
812	1724	396
813	1726	394
814	1729	392
815	1734	391
816	1736	388
817	1737	386
818	1739	384
819	1742	382
820	1745	380
821	1746	378
822	1748	376
823	1749	373
824	1750	371
825	1752	369
826	1753	366
827	1755	364
828	1757	362
829	1759	360
830	1761	358
831	1762	355
832	1763	353
833	1764	351
834	1765	348
835	1766	346
836	1768	344
837	1770	342
838	1772	340
839	1774	338
840	1776	335
841	1777	333
842	1779	331
843	1780	329
844	1781	326
845	1783	324
